id	name	number
-1  	Northern Cyprus
-2	Kosovo
-3	Somaliland
4	Afghanistan
8	Albania
10	Antarctica
12	Algeria
16	American Samoa
20	Andorra
24	Angola
28	Antigua and Barbuda
31	Azerbaijan
32	Argentina
36	Australia	2
40	Austria	2
44	Bahamas
48	Bahrain
50	Bangladesh	1
51	Armenia
52	Barbados
56	Belgium	1
60	Bermuda	1
64	Bhutan
68	Bolivia
70	Bosnia and Herzegovina
72	Botswana
74	Bouvet Island
76	Brazil	16
84	Belize
86	British Indian Ocean Territory
90	Solomon Islands
92	Virgin Islands, British
96	Brunei Darussalam
100	Bulgaria
104	Myanmar	3
108	Burundi
112	Belarus
116	Cambodia
120	Cameroon
124	Canada	27
132	Cape Verde
136	Cayman Islands
140	Central African Republic
144	Sri Lanka
148	Chad
152	Chile	2
156	China	49
158	Taiwan, Province of China	6
162	Christmas Island
166	Cocos (Keeling) Islands
170	Colombia	22
174	Comoros
175	Mayotte
178	Congo
180	Congo, the Democratic Republic of the
184	Cook Islands
188	Costa Rica	7
191	Croatia
192	Cuba
196	Cyprus
203	Czech Republic
204	Benin
208	Denmark	1
212	Dominica
214	Dominican Republic	11
218	Ecuador	1
222	El Salvador	1
226	Equatorial Guinea
231	Ethiopia
232	Eritrea
233	Estonia
234	Faroe Islands
238	Falkland Islands (Malvinas)
239	South Georgia and the South Sandwich Islands
242	Fiji
246	Finland
248	Åland Islands
250	France	15
254	French Guiana
258	French Polynesia
260	French Southern Territories
262	Djibouti
266	Gabon
268	Georgia
270	Gambia
275	Palestinian Territory, Occupied
276	Germany	4
288	Ghana	2
292	Gibraltar
296	Kiribati
300	Greece
304	Greenland
308	Grenada
312	Guadeloupe
316	Guam
320	Guatemala	10
324	Guinea
328	Guyana
332	Haiti
334	Heard Island and McDonald Islands
336	Holy See (Vatican City State)
340	Honduras	4
344	Hong Kong	9
348	Hungary
352	Iceland
356	India	89
360	Indonesia	20
364	Iran, Islamic Republic of
368	Iraq
372	Ireland	1
376	Israel
380	Italy	6
384	Côte d'Ivoire
388	Jamaica
392	Japan	5
398	Kazakhstan	1
400	Jordan	1
404	Kenya
408	Korea, Democratic People's Republic of
410	Korea, Republic of	42
414	Kuwait	6
417	Kyrgyzstan
418	Lao People's Democratic Republic
422	Lebanon
426	Lesotho
428	Latvia	1
430	Liberia	1
434	Libya
438	Liechtenstein
440	Lithuania
442	Luxembourg
446	Macao	1
450	Madagascar
454	Malawi
458	Malaysia	2
462	Maldives
466	Mali
470	Malta
474	Martinique
478	Mauritania
480	Mauritius
484	Mexico	19
492	Monaco
496	Mongolia
498	Moldova, Republic of
499	Montenegro
500	Montserrat
504	Morocco	3
508	Mozambique
512	Oman	1
516	Namibia	1
520	Nauru
524	Nepal	1
528	Netherlands	4
531	Curaçao
533	Aruba
534	Sint Maarten (Dutch part)
535	Bonaire, Sint Eustatius and Saba
540	New Caledonia
548	Vanuatu
554	New Zealand	2
558	Nicaragua	1
562	Niger
566	Nigeria	1
570	Niue
574	Norfolk Island
578	Norway	2
580	Northern Mariana Islands
581	United States Minor Outlying Islands
583	Micronesia, Federated States of
584	Marshall Islands
585	Palau
586	Pakistan	1
591	Panama	5
598	Papua New Guinea
600	Paraguay	2
604	Peru	1
608	Philippines	2
612	Pitcairn
616	Poland
620	Portugal
624	Guinea-Bissau
626	Timor-Leste
630	Puerto Rico
634	Qatar	1
638	Réunion
642	Romania	3
643	Russian Federation
646	Rwanda
652	Saint Barthélemy
654	Saint Helena, Ascension and Tristan da Cunha
659	Saint Kitts and Nevis
660	Anguilla
662	Saint Lucia
663	Saint Martin (French part)
666	Saint Pierre and Miquelon
670	Saint Vincent and the Grenadines
674	San Marino
678	Sao Tome and Principe
682	Saudi Arabia	6
686	Senegal
688	Serbia	1
690	Seychelles
694	Sierra Leone
702	Singapore	8
703	Slovakia
704	Viet Nam	5
705	Slovenia
706	Somalia
710	South Africa	2
716	Zimbabwe
724	Spain	12
728	South Sudan
729	Sudan
732	Western Sahara
740	Suriname
744	Svalbard and Jan Mayen
748	Swaziland
752	Sweden	2
756	Switzerland	5
760	Syrian Arab Republic
762	Tajikistan	1
764	Thailand	25
768	Togo
772	Tokelau
776	Tonga
780	Trinidad and Tobago
784	United Arab Emirates
788	Tunisia
792	Turkey	27
795	Turkmenistan
796	Turks and Caicos Islands	1
798	Tuvalu
800	Uganda	1
804	Ukraine
807	Macedonia, the former Yugoslav Republic of
818	Egypt
826	United Kingdom	15
831	Guernsey
832	Jersey
833	Isle of Man
834	Tanzania, United Republic of	1
840	United States
850	Virgin Islands, U.S.
854	Burkina Faso
858	Uruguay	2
860	Uzbekistan
862	Venezuela, Bolivarian Republic of	14
876	Wallis and Futuna
882	Samoa
887	Yemen
894	Zambia
